,WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
18,dolnośląskie,US,Urząd Skarbowy w Środzie Śląskiej,55-300,Środa Śląska,Oławska  ,5A,Środa Śląska,(22) 460 59 93,(71) 757-25-04,us.sroda_slaska@mf.gov.pl,219,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-srodzie-slaskiej
19,dolnośląskie,US,Urząd Skarbowy w Świdnicy,58-100,Świdnica,Marii Skłodowskiej-Curie,1-3,Świdnica,(22) 460 59 93,(74) 856-14-90,us.swidnica@mf.gov.pl,220,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-swidnicy
20,dolnośląskie,US,Urząd Skarbowy w Trzebnicy,55-100,Trzebnica,Prusicka ,2,Trzebnica,(22) 460 59 93,(71) 387-10-35,us.trzebnica@mf.gov.pl,221,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-trzebnicy
21,dolnośląskie,US,Urząd Skarbowy w  Wałbrzychu,58-306,Wałbrzych,Uczniowska ,21,Wałbrzych,(22) 460 59 93,(74) 841-13-01,us.walbrzych@mf.gov.pl,222,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-walbrzychu
22,dolnośląskie,US,Urząd Skarbowy w Wołowie,56-100,Wołów,Tadeusza Kościuszki ,17,Wołów,(22) 460 59 93,(71) 757-25-99,us.wolow@mf.gov.pl,223,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-wolowie
23,dolnośląskie,US,Urząd Skarbowy Wrocław - Fabryczna,53-238,Wrocław ,Aleksandra Ostrowskiego,5,Wrocław ,(22) 460 59 93,(71) 797-56-03,us.wroclaw.fabryczna@mf.gov.pl,224,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-fabryczna
24,dolnośląskie,US,Urząd Skarbowy Wrocław - Krzyki,53-310,Wrocław,Sztabowa ,100,Wrocław,(22) 460 59 93,(71) 373-22-17,us.wroclaw.krzyki@mf.gov.pl ,225,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-krzyki
25,dolnośląskie,US,Urząd Skarbowy Wrocław - Psie Pole,50-231,Wrocław,Trzebnicka ,33,Wrocław,(22) 460 59 93,(71) 329-17-86,us.wroclaw.psie_pole@mf.gov.pl,226,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-psie-pole
26,dolnośląskie,US,Urząd Skarbowy Wrocław - Stare Miasto,53-654,Wrocław,Inowrocławska ,4,Wrocław,(22) 460 59 93,(71) 786-67-50,us.wroclaw.stare_miasto@mf.gov.pl,227,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-stare-miasto
27,dolnośląskie,US,Urząd Skarbowy Wrocław - Śródmieście,50-044,Wrocław,marsz. Józefa Piłsudskiego,27-29,Wrocław,(22) 460 59 93,(71) 344-55-56,us.wroclaw.srodmiescie@mf.gov.pl,228,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-srodmiescie
28,dolnośląskie,US,Pierwszy Urząd Skarbowy we Wrocławiu ,50-515,Wrocław,Ks. Czesława Klimasa ,34,Wrocław,(22) 460 59 93,(71) 795-05-02,1.us.wroclaw@mf.gov.pl,229,www.dolnoslaskie.kas.gov.pl/pierwszy-urzad-skarbowy-we-wroclawiu
29,dolnośląskie,US,Urząd Skarbowy w Ząbkowicach Śląskich,57-200,Ząbkowice Śląskie,Ludwika Waryńskiego ,2A,Ząbkowice Śląskie,(22) 460 59 93,(74) 815-52-94,us.zabkowice_slaskie@mf.gov.pl,230,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zabkowicach-slaskich
30,dolnośląskie,US,Urząd Skarbowy w Zgorzelcu,59-900,Zgorzelec,Bohaterów II Armii Wojska Polskiego ,8B,Zgorzelec,(22) 460 59 93,(75) 649-48-90,us.zgorzelec@mf.gov.pl,231,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zgorzelcu
31,dolnośląskie,US,Urząd Skarbowy w Złotoryi,59-500,Złotoryja,Rynek ,42,Złotoryja,(22) 460 59 93,(76) 878-32-28,us.zlotoryja@mf.gov.pl,232,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zlotoryi
32,dolnośląskie,US,Urząd skarbowy w Górze,56-200,Góra,Poznańska ,4,Góra,(22) 460 59 93,(65) 544-18-76,us.gora@mf.gov.pl,233,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-gorze
33,dolnośląskie,US,Urząd Skarbowy w Polkowicach,59-100,Polkowice,Zachodnia ,10,Polkowice,(22) 460 59 93,(76) 746-13-05,us.polkowice@mf.gov.pl,234,www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-polkowicach
44,kujawsko-pomorskie,US,Urząd Skarbowy w Aleksandrowie Kujawskim ,87-700,Aleksandrów Kujawski ,Kościelna ,18,Aleksandrów Kujawski ,(54) 252 33 00,(54) 252-33-21,us.aleksandrow-kujawski@mf.gov.pl,402,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-aleksandrowie-kujawskim
45,kujawsko-pomorskie,US,Urząd Skarbowy w Brodnicy,87-300,Brodnica,Gen. Władysława Sikorskiego ,19,Brodnica,(56) 495 47 11,(56) 495-47-29,us.brodnica@mf.gov.pl,403,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-brodnicy
46,kujawsko-pomorskie,US,Pierwszy Urząd Skarbowy w Bydgoszczy,85-950,Bydgoszcz,Fordońska ,77,Bydgoszcz,(52) 561 70 00,(52) 561-78-64 ,1us.bydgoszcz@mf.gov.pl,404,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-bydgoszczy
47,kujawsko-pomorskie,US,Drugi Urząd Skarbowy w Bydgoszczy,85-822,Bydgoszcz,Wojska Polskiego ,20B,Bydgoszcz,(52) 568 21 00,(52) 372-79-52 ,2us.bydgoszcz@mf.gov.pl,405,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-bydgoszczy
48,kujawsko-pomorskie,US,Trzeci Urząd Skarbowy w Bydgoszczy,85-032,Bydgoszcz,Tadeusza Rejtana ,5,Bydgoszcz,(52) 339 74 00,(52) 339-75-00,3us.bydgoszcz@mf.gov.pl,406,www.kujawsko-pomorskie.kas.gov.pl/trzeci-urzad-skarbowy-w-bydgoszczy
49,kujawsko-pomorskie,US,Urząd Skarbowy w Chełmnie,86-200,Chełmno,Grudziądzka ,6,Chełmno,(56) 677 05 11,(56) 677-05-10,us.chelmno@mf.gov.pl,407,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-chelmnie
50,kujawsko-pomorskie,US,Urząd Skarbowy w Grudziądzu,86-300,Grudziądz,Droga Łąkowa ,23,Grudziądz,(56) 643 33 30,(56) 643-33-35,us.grudziadz@mf.gov.pl,408,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-grudziadzu
51,kujawsko-pomorskie,US,Urząd Skarbowy w Inowrocławiu,88-100,Inowrocław,al. Niepodległości ,5,Inowrocław,(52) 587 60 00,(52) 587-60-01,us.inowroclaw@mf.gov.pl,409,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-inowroclawiu
52,kujawsko-pomorskie,US,Urząd Skarbowy w Lipnie,87-600,Lipno,Stanisława Staszica ,4,Lipno,(54) 414 83 00,(54) 414-83-39,us.lipno@mf.gov.pl,410,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-lipnie
53,kujawsko-pomorskie,US,Urząd Skarbowy w Mogilnie,88-300,Mogilno,900-lecia ,20,Mogilno,"(52) 568 27 27, (52) 568 27 20",(52) 568-27-99,us.mogilno@mf.gov.pl,411,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-mogilnie
54,kujawsko-pomorskie,US,Urząd Skarbowy w Nakle nad Notecią,89-100,Nakło nad Notecią,Sądowa ,8,Nakło nad Notecią,(52) 386 92 22; (52) 386 92 10; (52) 386 92 11 Nacz.,(52) 386-92-88,us.naklo@mf.gov.pl,412,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-nakle-nad-notecia
55,kujawsko-pomorskie,US,Urząd Skarbowy w Radziejowie,88-200,Radziejów,Rolnicza ,6,Radziejów,(54) 414 84  00,(54) 414 84 61,us.radziejow@mf.gov.pl,413,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-radziejowie
56,kujawsko-pomorskie,US,Urząd Skarbowy w Rypinie,87-500,Rypin,Dojazdowa ,10,Rypin,(54) 280 92 00; (54) 280 92 10,(54) 280-26-38,us.rypin@mf.gov.pl,414,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-rypinie
57,kujawsko-pomorskie,US,Urząd Skarbowy w Świeciu ,86-100,Świecie,10 lutego,16,Świecie,(52) 552 21 00,(52) 552 21 18,us.swiecie@mf.gov.pl,415,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-swieciu
58,kujawsko-pomorskie,US,Pierwszy Urząd Skarbowy w Toruniu,87-100,Toruń,Szosa Chełmińska ,34/36,Toruń,(056) 610 91 00,(56) 610-91-11,1us.torun@mf.gov.pl,416,www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-toruniu
59,kujawsko-pomorskie,US,Drugi Urząd Skarbowy w Toruniu,87-100,Toruń,Mazowiecka ,63,Toruń,(56) 664 77 00; Nacz: (56) 664 77 77 ,(56) 664-78-20,2us.torun@mf.gov.pl,417,www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-toruniu
60,kujawsko-pomorskie,US,Urząd Skarbowy w Tucholi,89-500,Tuchola,Pl. Zamkowy,4,Tuchola,(52) 336 33 00,(52) 336-33-27,us.tuchola@mf.gov.pl,418,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-tucholi
61,kujawsko-pomorskie,US,Urząd Skarbowy w Wąbrzeźnie,87-200,Wąbrzeźno,Macieja Rataja ,2,Wąbrzeźno,(56) 689 05 00; (56) 689 05 01,(56) 689 05 26,us.wabrzezno@mf.gov.pl,419,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-wabrzeznie
62,kujawsko-pomorskie,US,Urząd Skarbowy we Włocławku,87-800,Włocławek,Stefana Okrzei ,72B,Włocławek,(54) 423 21 00,(54) 423-21-50,us.wloclawek@mf.gov.pl,420,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-we-wloclawku
63,kujawsko-pomorskie,US,Urząd Skarbowy w Żninie,88-400 ,Żnin,Klemensa Janickiego ,18,Żnin,(52) 303 04 00,(52) 303-13-45,us.znin@mf.gov.pl,421,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-zninie
64,kujawsko-pomorskie,US,Urząd Skarbowy w Golubiu-Dobrzyniu,87-400,Golub-Dobrzyń,Dr. Jerzego Gerarda Koppa ,1A,Golub-Dobrzyń,(56) 491 80 20,(56) 491-80-49,us.golub-dobrzyn@mf.gov.pl,422,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-golubiu-dobrzyniu
65,kujawsko-pomorskie,US,Urząd Skarbowy w Sępólnie Krajeńskim,89-400,Sępólno Krajeńskie,Tadeusza Kościuszki ,22,Sępólno Krajeńskie,(52) 388 83 10,(52) 388-83-23,us.sepolno-krajenskie@mf.gov.pl,423,www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-sepolnie-krajenskim
75,lubelskie,US,Urząd Skarbowy w Białej Podlaskiej,21-500,Biała Podlaska,Prosta ,19,Biała Podlaska,(83) 344-95-17,(83) 344-95-91,sekretariat.us.biala-podlaska@mf.gov.pl,602,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bialej-podlaskiej
76,lubelskie,US,Urząd Skarbowy w Biłgoraju,23-400,Biłgoraj,Tadeusza Kościuszki ,78,Biłgoraj,(84) 686-87-00,(84) 686-87-01,sekretariat.us.bilgoraj@mf.gov.pl,603,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-bilgoraju
77,lubelskie,US,Urząd Skarbowy w Chełmie,22-100,Chełm,Obłońska ,20A,Chełm,(82) 565-02-01 do 08,(82) 564-33-31,sekretariat.us.chelm@mf.gov.pl,604,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-chelmie
78,lubelskie,US,Urząd Skarbowy w Hrubieszowie,22-500,Hrubieszów,27 Wołyńskiej Dywizji Piechoty AK ,11,Hrubieszów,(84) 696-63-88 ,(84) 696-63-65,sekretariat.us.hrubieszow@mf.gov.pl,605,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-hrubieszowie
79,lubelskie,US,Urząd Skarbowy w Janowie Lubelskim,23-300,Janów Lubelski,Wojska Polskiego ,32,Janów Lubelski,(15) 872 53 00,(15) 872-24-66,sekretariat.us.janow-lubelski@mf.gov.pl,606,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-janowie-lubelskim
80,lubelskie,US,Urząd Skarbowy w Krasnymstawie,22-300,Krasnystaw,Rzeczna ,5,Krasnystaw,(82) 576 25 94; (82) 575 68 94,(82) 576-50-41,sekretariat.us.krasnystaw@mf.gov.pl,607,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasnymstawie
81,lubelskie,US,Urząd Skarbowy w Kraśniku,23-200,Kraśnik,Tadeusza Kościuszki ,5,Kraśnik,(81) 528 69 00,(81) 528-69-28,sekretariat.us.krasnik@mf.gov.pl,608,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-krasniku
82,lubelskie,US,Urząd Skarbowy w Lubartowie,21-100,Lubartów,Legionów ,55,Lubartów,(81) 852 62 00,(81) 852-62-83,sekretariat.us.lubartow@mf.gov.pl,609,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lubartowie
83,lubelskie,US,Pierwszy Urząd Skarbowy w Lublinie,20-027,Lublin,Sądowa ,5,Lublin,(81) 464 23 10 do 11,(81) 464-23-12,sekretariat.1us.lublin@mf.gov.pl,610,www.lubelskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-lublinie
84,lubelskie,US,Drugi Urząd Skarbowy w Lublinie,20-883,Lublin,Tadeusza Szeligowskiego ,24,Lublin,(81) 452 24 00,(81) 452-24-04,sekretariat.2us.lublin@mf.gov.pl,611,www.lubelskie.kas.gov.pl/drugi-urzad-skarbowy-w-lublinie
85,lubelskie,US,Trzeci Urząd Skarbowy w Lublinie,20-016,Lublin,Prezydenta Gabriela Narutowicza ,56,Lublin,(81) 535 04 77,(81) 535 04 53,sekretariat.3us.lublin@mf.gov.pl,612,www.lubelskie.kas.gov.pl/trzeci-urzad-skarbowy-w-lublinie
86,lubelskie,US,Urząd Skarbowy w Łukowie,21-400,Łuków,Międzyrzecka ,72A,Łuków,(25) 640 05 26,(25) 640 05 44,sekretariat.us.lukow@mf.gov.pl,613,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lukowie
87,lubelskie,US,Urząd Skarbowy w Opolu Lubelskim,24-300,Opole Lubelskie,Józefa Piłsudskiego ,12,Opole Lubelskie,(81) 827 21 41,(81) 827-20-86,sekretariat.us.opole-lubelskie@mf.gov.pl,614,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-opolu-lubelskim
88,lubelskie,US,Urząd Skarbowy w Parczewie,21-200,Parczew,Żabia ,2a,Parczew,(83) 342 72 08,(83) 354-39-30,sekretariat.us.parczew@mf.gov.pl,615,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-parczewie
89,lubelskie,US,Urząd Skarbowy w Radzyniu Podlaskim,21-300,Radzyń Podlaski,Lubelska,1/2,Radzyń Podlaski,(83) 352 11 09,(83) 352-11-09 w. 400,sekretariat.us.radzyn-podlaski@mf.gov.pl,617,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-radzyniu-podlaskim
90,lubelskie,US,Urząd Skarbowy w Tomaszowie Lubelskim,22-600,Tomaszów Lubelski,Rolnicza ,17,Tomaszów Lubelski,(84) 666 01 16,(84) 666-01-11,sekretariat.us.tomaszow-lubelski@mf.gov.pl,618,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-lubelskim
91,lubelskie,US,Urząd Skarbowy we Włodawie,22-200,Włodawa,Rynek ,9,Włodawa,(82) 572 44 00,(82) 572-39-00,sekretariat.us.wlodawa@mf.gov.pl,619,www.lubelskie.kas.gov.pl/urzad-skarbowy-we-wlodawie
92,lubelskie,US,Urząd Skarbowy w Zamościu,22-400,Zamość,Jana Kilińskiego ,82,Zamość,(84) 677 63 00,(84) 638-32-23,sekretariat.us.zamosc@mf.gov.pl,620,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-zamosciu
93,lubelskie,US,Urząd Skarbowy w Łęcznej,21-010,Łęczna,Aleja Jana Pawła II,95,Łęczna,(81) 524 69 50,(81) 752-36-26,sekretariat.us.leczna@mf.gov.pl,621,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lecznej
94,lubelskie,US,Urząd Skarbowy w Rykach,08-500,Ryki,Leona Wyczółkowskiego ,10A,Ryki,(81) 865 63 82 do 84,(81) 865-44-30,sekretariat.us.ryki@mf.gov.pl,622,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-rykach
117,lubuskie,US,Urząd Skarbowy w Gorzowie Wielkopolskim,66-400,Gorzów Wielkopolski,Kazimierza Jagiellończyka,10,Gorzów Wielkopolski,(95) 711-57-42,(95)711-59-05,us.gorzowwielkopolski@mf.gov.pl,802,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-gorzowie-wielkopolskim
118,lubuskie,US,Urząd Skarbowy w Krośnie Odrzańskim,66-600,Krosno Odrzańskie,Słubicka,3,Krosno Odrzańskie,(68) 383-53-17,(68) 383-57-28,us.krosnoodrzanskie@mf.gov.pl,803,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-krosnie-odrzanskim
119,lubuskie,US,Urząd Skarbowy w Międzyrzeczu,66-300,Międzyrzecz,Rynek ,3,Międzyrzecz,(95) 742-35-00,(95) 742-35-01,us.miedzyrzecz@mf.gov.pl,804,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-miedzyrzeczu
120,lubuskie,US,Urząd Skarbowy w Nowej Soli,67-100,Nowa Sól,Staszica,1,Nowa Sól,(68) 456-03-02,(68) 456-03-01,us.nowasol@mf.gov.pl,805,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-nowej-soli
121,lubuskie,US,Urząd Skarbowy w Słubicach,69-100,Słubice,Wojska Polskiego ,155,Słubice,(95) 750-15-11,(95) 758-26-62,us.slubice@mf.gov.pl,806,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-slubicach
122,lubuskie,US,Urząd Skarbowy w Świebodzinie,66-200,Świebodzin,Sobieskiego,6,Świebodzin,(68) 456-06-10,(68) 456-06-01,us.swiebodzin@mf.gov.pl,807,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-swiebodzinie
123,lubuskie,US,Pierwszy Urząd Skarbowy w Zielonej Górze,65-054,Zielona Góra,Dr. Pieniężnego ,24,Zielona Góra,(68) 456-01-00,(68) 456-01-01,1us.zielonagora@mf.gov.pl,808,www.lubuskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-zielonej-gorze
124,lubuskie,US,Drugi Urząd Skarbowy w Zielonej Górze,65-054,Zielona Góra,Dr. Pieniężnego ,24,Zielona Góra,(68) 456-02-00,(68) 456-02-01,2us.zielonagora@mf.gov.pl,809,www.lubuskie.kas.gov.pl/drugi-urzad-skarbowy-w-zielonej-gorze
125,lubuskie,US,Urząd Skarbowy w Żaganiu,68-100,Żagań,Skarbowa,26,Żagań,(68) 456-04-02,(68) 456-04-01,us.zagan@mf.gov.pl,810,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zaganiu
126,lubuskie,US,Urząd Skarbowy w Żarach,68-200,Żary,Osadników Wojskowych ,3-4,Żary,(68) 456-05-00,(68) 456-05-01,us.zary@mf.gov.pl,811,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zarach
127,lubuskie,US,Urząd Skarbowy w Drezdenku,66-530,Drezdenko,Pierwszej Brygady ,21,Drezdenko,(95) 763-73-00,(95) 763-73-02,us.drezdenko@mf.gov.pl,812,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-drezdenku
128,lubuskie,US,Urząd Skarbowy w Sulęcinie,69-200,Sulęcin,Daszyńskiego ,47,Sulęcin,(95) 756-00-11,(95) 755-22-24,us.sulecin@mf.gov.pl,813,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-sulecinie
129,lubuskie,US,Urząd Skarbowy we Wschowie,67-400,Wschowa,Zielony Rynek ,7,Wschowa,(65) 540-80-60,(65) 540-80-61,us.wschowa@mf.gov.pl,814,www.lubuskie.kas.gov.pl/urzad-skarbowy-we-wschowie
137,łódzkie,US,Urząd Skarbowy w Bełchatowie,97-400,Bełchatów,Józefa Piłsudskiego ,18,Bełchatów,22 460 59 94,(44) 632-30-63,us.belchatow@mf.gov.pl,1002,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-belchatowie
138,łódzkie,US,Urząd Skarbowy w Brzezinach,95-060,Brzeziny,Henryka Sienkiewicza ,16,Brzeziny,22 460 59 94,(46) 874-21-77,us.brzeziny@mf.gov.pl,1003,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-brzezinach
139,łódzkie,US,Urząd Skarbowy w Głownie,95-015,Głowno,Ludwika Norblina ,2,Głowno,22 460 59 94,-,us.glowno@mf.gov.pl,1004,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-glownie
140,łódzkie,US,Urząd Skarbowy w Kutnie,99-300,Kutno,Dr. Antoniego Troczewskiego ,12,Kutno,22 460 59 94,(24) 355-65-65,us.kutno@mf.gov.pl,1005,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-kutnie
141,łódzkie,US,Urząd Skarbowy w Łasku,98-100,Łask,9 Maja ,31,Łask,22 460 59 94,-,us.lask@mf.gov.pl,1006,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lasku
142,łódzkie,US,Urząd Skarbowy w Łowiczu,99-400,Łowicz,Józefa Chełmońskiego ,2,Łowicz,22 460 59 94,-,us.lowicz@mf.gov.pl,1007,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lowiczu
143,łódzkie,US,Pierwszy Urząd Skarbowy Łódź - Bałuty,91-066,Łódź,Zachodnia ,47,Łódź,22 460 59 94,(42) 253-57-22,1us.lodz.baluty@mf.gov.pl,1008,www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-baluty
